Customer ID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Cluster
CUST0109,432,5,6980,2,4,4,10,0
CUST0111,547,1,900,1,1,1,3,3
CUST0112,341,4,9800,4,3,4,11,0
CUST0113,426,4,7800,2,3,4,9,0
CUST0114,459,3,3350,1,2,2,5,1
CUST0115,480,3,1590,1,2,2,5,1
CUST0116,410,5,1520,2,4,2,8,2
CUST0117,482,2,450,1,1,1,3,1
CUST0118,391,4,3450,2,3,2,7,2
CUST0120,479,2,550,1,1,1,3,1
CUST0121,337,2,1150,4,1,1,6,2
CUST0122,333,6,6100,4,4,3,11,0
CUST0123,357,2,7900,3,1,4,8,2
CUST0124,435,6,6000,2,4,3,9,0
CUST0125,315,4,8720,4,3,4,11,0
CUST0126,325,5,2560,4,4,2,10,2
CUST0127,378,3,3800,3,2,3,8,2
CUST0128,385,5,6300,2,4,3,9,0
CUST0129,365,5,13460,3,4,4,11,0
CUST0130,326,5,2650,4,4,2,10,2
CUST0131,362,8,21180,3,4,4,11,0
CUST0133,336,7,11100,4,4,4,12,0
CUST0134,466,3,3200,1,2,2,5,1
CUST0135,526,1,200,1,1,1,3,3
CUST0136,368,3,500,3,2,1,6,2
CUST0137,341,5,8700,4,4,4,12,0
CUST0138,341,4,12350,4,3,4,11,0
CUST0139,318,7,18350,4,4,4,12,0
CUST0140,538,3,1090,1,2,1,4,1
CUST0141,407,2,1230,2,2,1,5,2
CUST0142,323,7,5150,4,4,3,11,0
CUST0143,488,1,600,1,1,1,3,3
CUST0144,348,5,17320,3,4,4,11,0
CUST0145,341,3,2300,4,2,2,8,2
CUST0146,429,2,5300,2,2,3,7,1
CUST0147,672,1,400,1,1,1,3,3
CUST0148,370,5,1670,3,4,2,9,2
CUST0149,322,5,3850,4,4,3,11,2
CUST0150,448,4,5950,1,3,3,7,1
CUST0152,365,6,5730,3,4,3,10,0
CUST0153,358,3,860,3,2,1,6,2
CUST0154,342,4,1580,4,3,2,9,2
CUST0155,399,4,3800,2,3,3,8,2
CUST0156,320,4,12000,4,3,4,11,0
CUST0157,541,1,200,1,1,1,3,3
CUST0158,407,3,2300,2,2,2,6,2
CUST0159,384,6,6650,2,4,4,10,0
CUST0160,364,6,13750,3,4,4,11,0
CUST0161,680,1,600,1,1,1,3,3
CUST0162,401,3,5400,2,2,3,7,2
CUST0163,398,1,300,2,1,1,4,2
CUST0164,608,1,900,1,1,1,3,3
CUST0165,324,2,250,4,2,1,7,2
CUST0166,360,1,120,3,1,1,5,2
CUST0167,335,2,800,4,2,1,7,2
CUST0168,363,5,3250,3,4,2,9,2
CUST0169,443,1,300,2,1,1,4,1
CUST0170,327,2,250,4,2,1,7,2
CUST0171,669,1,500,1,1,1,3,3
CUST0172,356,2,1620,3,2,2,7,2
CUST0173,327,4,9250,4,3,4,11,0
CUST0174,337,7,5630,4,4,3,11,0
CUST0176,363,5,12400,3,4,4,11,0
CUST0177,606,3,1430,1,2,2,5,3
CUST0178,382,4,11100,2,3,4,9,0
CUST0179,366,3,4500,3,2,3,8,2
CUST0180,392,3,3950,2,2,3,7,2
CUST0181,387,2,1800,2,2,2,6,2
CUST0182,386,5,5080,2,4,3,9,0
CUST0183,389,3,3450,2,2,2,6,2
CUST0184,441,3,4890,2,2,3,7,1
CUST0185,327,3,9200,4,2,4,10,0
CUST0186,390,5,3480,2,4,2,8,2
CUST0187,386,2,7700,2,2,4,8,2
CUST0188,476,3,5350,1,2,3,6,1
CUST0189,483,4,5080,1,3,3,7,1
CUST0190,504,1,200,1,1,1,3,3
CUST0191,470,1,6000,1,1,3,5,1
CUST0192,315,3,980,4,2,1,7,2
CUST0193,373,4,7500,3,3,4,10,0
CUST0194,577,2,60,1,2,1,4,3
CUST0195,379,3,1300,3,2,2,7,2
CUST0196,322,7,6590,4,4,3,11,0
CUST0197,340,5,16150,4,4,4,12,0
CUST0198,319,4,8500,4,3,4,11,0
CUST0199,315,6,6340,4,4,3,11,0
CUST0200,465,4,16700,1,3,4,8,0
CUST0201,315,8,8460,4,4,4,12,0
CUST0202,315,4,5090,4,3,3,10,2
CUST0203,405,5,12480,2,4,4,10,0
CUST0204,390,9,29100,2,4,4,10,0
CUST0205,401,2,700,2,2,1,5,2
CUST0206,457,2,7700,1,2,4,7,1
CUST0207,315,2,1700,4,2,2,8,2
CUST0208,421,5,2720,2,4,2,8,1
CUST0209,640,1,250,1,1,1,3,3
CUST0210,318,3,3400,4,2,2,8,2
CUST0211,324,4,5640,4,3,3,10,2
CUST0212,361,4,10060,3,3,4,10,0
CUST0213,379,2,2200,3,2,2,7,2
CUST0214,408,1,600,2,1,1,4,2
CUST0215,473,2,1590,1,2,2,5,1
CUST0216,383,5,6010,2,4,3,9,0
CUST0217,390,1,90,2,1,1,4,2
CUST0218,376,5,9150,3,4,4,11,0
CUST0219,412,4,510,2,3,1,6,2
CUST0220,493,4,3650,1,3,3,7,1
CUST0221,378,3,1110,3,2,1,6,2
CUST0222,366,2,1660,3,2,2,7,2
CUST0223,537,2,7560,1,2,4,7,1
CUST0224,336,2,1600,4,2,2,8,2
CUST0225,361,4,1640,3,3,2,8,2
CUST0226,402,3,6600,2,3,4,9,2
CUST0227,342,4,3350,4,3,2,9,2
CUST0228,342,6,5370,4,4,3,11,0
CUST0229,424,4,1090,2,3,1,6,1
CUST0230,369,1,6000,3,1,3,7,2
CUST0231,349,2,7600,3,2,4,9,2
CUST0232,372,4,9190,3,3,4,10,0
CUST0233,613,1,600,1,1,1,3,3
CUST0234,428,2,7700,2,2,4,8,1
CUST0235,585,2,800,1,2,1,4,3
CUST0236,452,3,7600,1,3,4,8,1
CUST0237,315,1,600,4,1,1,6,2
CUST0238,315,5,1720,4,4,2,10,2
CUST0239,361,4,3950,3,3,3,9,2
CUST0240,328,5,2900,4,4,2,10,2
CUST0241,492,3,3350,1,3,2,6,1
CUST0242,319,3,4800,4,3,3,10,2
CUST0243,458,2,1700,1,2,2,5,1
CUST0244,631,1,300,1,1,1,3,3
CUST0245,322,3,1720,4,3,2,9,2
CUST0246,411,1,900,2,1,1,4,2
CUST0247,470,4,5600,1,3,3,7,1
CUST0248,444,2,1800,2,2,2,6,1
CUST0249,667,1,1500,1,1,2,4,3
CUST0250,351,3,3500,3,3,2,8,2
CUST0251,361,3,5460,3,3,3,9,2
CUST0252,394,3,2100,2,3,2,7,2
CUST0253,415,6,7750,2,4,4,10,0
CUST0254,324,1,60,4,1,1,6,2
CUST0255,363,3,5700,3,3,3,9,2
CUST0256,403,4,8250,2,3,4,9,0
CUST0257,672,1,60,1,1,1,3,3
CUST0258,479,3,6000,1,3,3,7,1
CUST0259,362,3,3960,3,3,3,9,2
CUST0260,488,2,1500,1,2,2,5,1
CUST0261,370,2,7590,3,2,4,9,2
CUST0262,387,2,320,2,2,1,5,2
CUST0263,427,4,2400,2,3,2,7,1
CUST0264,323,6,6150,4,4,3,11,0
CUST0265,349,2,500,3,2,1,6,2
CUST0266,371,3,4350,3,3,3,9,2
CUST0267,531,1,4500,1,1,3,5,3
CUST0268,341,5,3540,4,4,2,10,2
CUST0269,346,4,10500,3,3,4,10,0
CUST0270,451,4,2850,1,3,2,6,1
CUST0271,359,5,2170,3,4,2,9,2
CUST0272,423,6,9180,2,4,4,10,0
CUST0273,394,4,4390,2,3,3,8,2
CUST0274,315,4,9100,4,3,4,11,0
CUST0276,348,7,9230,3,4,4,11,0
CUST0278,654,1,600,1,1,1,3,3
CUST0279,355,4,4180,3,3,3,9,2
CUST0280,520,3,1050,1,3,1,5,1
CUST0281,352,8,17850,3,4,4,11,0
CUST0282,350,4,10600,3,3,4,10,0
CUST0283,371,4,5840,3,3,3,9,2
CUST0284,470,5,2550,1,4,2,7,1
CUST0285,529,3,3700,1,3,3,7,1
CUST0286,603,2,1600,1,2,2,5,3
CUST0287,503,1,3200,1,1,2,4,3
CUST0288,498,5,9750,1,4,4,9,0
CUST0289,315,3,8620,4,3,4,11,2
CUST0290,410,3,1600,2,3,2,7,2
CUST0291,534,4,2630,1,3,2,6,1
CUST0292,539,1,120,1,1,1,3,3
CUST0293,362,5,14200,3,4,4,11,0
CUST0294,429,1,150,2,1,1,4,1
CUST0295,318,4,8830,4,3,4,11,0
CUST0296,315,6,7130,4,4,4,12,0
CUST0297,400,2,1200,2,2,1,5,2
CUST0298,368,4,5420,3,3,3,9,2
CUST0299,315,7,10060,4,4,4,12,0
CUST0300,395,2,890,2,2,1,5,2
